VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,rate_code_name,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,payment_type_name,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-03-10T11:50:57,2016-03-10T11:51:00,1,0,Standard rate,0,0,0,0,Credit card,2.5,0,0.5,0.99,0,0.3,4.29
2,2016-03-10T10:49:55,2016-03-10T10:50:39,1,0,Standard rate,0,0,0,0,Credit card,2.5,0,0.5,0.99,0,0.3,4.29
2,2016-03-10T13:37:46,2016-03-10T13:37:49,1,0,Standard rate,40.78213501,-73.95938873,40.78209686,-73.95941162,Credit card,2.5,0,0.5,0.99,0,0.3,4.29
2,2016-03-10T09:53:52,2016-03-10T09:54:23,1,0.02,Standard rate,40.76074982,-73.98349762,40.76055145,-73.98300934,Credit card,2.5,0,0.5,0.99,0,0.3,4.29
2,2016-03-01T06:17:00,2016-03-01T06:17:02,1,0,Standard rate,40.76460648,-73.93683624,40.76464462,-73.93680573,Credit card,2.5,0,0.5,0.99,0,0.3,4.29
1,2016-03-01T04:17:20,2016-03-01T04:17:20,1,0,Standard rate,40.75034714,-73.8901062,0,0,Cash,2.5,1,0.5,0,0,0.3,4.3
2,2016-03-10T10:32:01,2016-03-10T10:33:33,1,0.05,Standard rate,40.71953964,-74.00523376,40.72008896,-74.00518036,Credit card,2.5,0,0.5,1,0,0.3,4.3
2,2016-03-10T12:35:02,2016-03-10T12:35:09,2,0,Standard rate,40.74620056,-73.97213745,40.74634933,-73.9723587,Credit card,2.5,0,0.5,2,0,0.3,5.3
2,2016-03-10T12:45:51,2016-03-10T12:46:03,1,0.01,Standard rate,40.76147079,-73.9695816,40.76139069,-73.96952057,Credit card,2.5,0,0.5,3,0,0.3,6.3
2,2016-03-10T09:11:35,2016-03-10T09:11:48,1,0,Standard rate,0,0,40.76427841,-73.98255157,Credit card,2.5,0,0.5,3,0,0.3,6.3
2,2016-03-10T12:41:50,2016-03-10T12:43:00,1,0,Standard rate,0,0,40.78852081,-73.97678375,Credit card,2.5,0,0.5,3,0,0.3,6.3
1,2016-03-01T05:38:11,2016-03-01T05:38:29,1,14,Standard rate,40.75637436,-73.94004822,40.75637436,-73.94004822,Cash,2.5,0.5,0.5,0,2.5,0.3,6.3
2,2016-03-01T00:16:13,2016-03-01T00:16:17,4,0,Standard rate,0,0,0,0,Credit card,2.5,0.5,0.5,3,0,0.3,6.8
2,2016-03-10T11:55:50,2016-03-10T11:55:55,2,0,Standard rate,0,0,0,0,Credit card,2.5,0,0.5,3.5,0,0.3,6.8
2,2016-03-01T01:22:45,2016-03-01T01:22:55,1,0.01,Standard rate,40.68791962,-73.91773987,40.68817139,-73.9175415,Credit card,2.5,0.5,0.5,3,0,0.3,6.8
2,2016-03-10T08:13:41,2016-03-10T08:13:51,5,0,Standard rate,40.75735855,-73.97396851,40.75735855,-73.97396851,Credit card,2.5,0,0.5,3.75,0,0.3,7.05
2,2016-03-01T00:59:20,2016-03-01T00:59:45,6,0.09,Standard rate,40.74077225,-73.99371338,40.74049759,-73.99284363,Credit card,2.5,0.5,0.5,0.76,0,0.3,4.56
2,2016-03-10T13:56:24,2016-03-10T13:56:40,5,0,Standard rate,0,0,0,0,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T10:06:02,2016-03-10T10:06:12,1,0.01,Standard rate,0,0,0,0,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T07:15:34,2016-03-10T07:15:36,5,0,Standard rate,0,0,40.76403046,-73.90209961,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T09:06:02,2016-03-10T09:06:13,1,0.03,Standard rate,40.75931931,-73.99503326,40.75907135,-73.99445343,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T10:44:25,2016-03-10T10:45:00,3,0.07,Standard rate,40.76586151,-73.98365784,40.76741028,-73.98214722,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T10:58:02,2016-03-10T10:58:15,2,0,Standard rate,40.75521851,-73.97757721,40.75521851,-73.97757721,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T11:10:38,2016-03-10T11:10:57,1,0.04,Standard rate,40.75972366,-73.98473358,40.75971222,-73.98468781,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T10:38:21,2016-03-10T10:38:48,1,0.01,Standard rate,40.78246689,-73.9576416,40.78258133,-73.95748138,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T10:21:38,2016-03-10T10:22:14,1,0.05,Standard rate,40.64676666,-73.79003906,40.64665604,-73.79044342,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T08:33:04,2016-03-10T08:33:44,1,0.11,Standard rate,40.77843475,-73.98171997,40.77788544,-73.97988892,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T14:22:45,2016-03-10T14:22:47,1,0,Standard rate,0,0,0,0,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T10:31:53,2016-03-10T10:32:25,1,0.04,Standard rate,40.7588768,-73.98858643,40.75914764,-73.98832703,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T13:37:04,2016-03-10T13:37:19,1,0.05,Standard rate,40.74256134,-73.98474884,40.74419022,-73.98365021,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T12:59:20,2016-03-10T12:59:39,2,0.17,Standard rate,40.77563858,-73.94432068,40.77442169,-73.94520569,Cash,2.5,0,0.5,0,0,0.3,3.3
1,2016-03-01T06:07:50,2016-03-01T06:07:50,1,0,Standard rate,40.76717758,-73.9863205,0,0,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T08:31:07,2016-03-10T08:31:16,1,0,Standard rate,40.75201797,-73.97748566,0,0,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T08:26:07,2016-03-10T08:26:47,1,0.17,Standard rate,40.78004837,-73.98053741,40.77954102,-73.97734833,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T13:55:04,2016-03-10T13:55:22,1,0,Standard rate,40.74945068,-73.98374176,40.74945068,-73.98374176,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T08:10:17,2016-03-10T08:10:24,1,0,Standard rate,0,0,40.76103973,-73.9675293,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T07:56:44,2016-03-10T07:57:18,1,0.01,Standard rate,40.76858521,-73.95550537,40.76870346,-73.95542908,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T11:12:25,2016-03-10T11:13:31,6,0.02,Standard rate,40.795681,-73.93263245,40.79590988,-73.93258667,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T07:09:34,2016-03-10T07:09:57,1,0.02,Standard rate,40.77477264,-73.95095062,40.77482605,-73.9489212,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T10:20:54,2016-03-10T10:21:29,1,0,Standard rate,40.77455521,-73.98844147,40.77450562,-73.98848724,Cash,2.5,0,0.5,0,0,0.3,3.3
1,2016-03-01T00:45:24,2016-03-01T00:46:21,1,0.1,Group ride,40.76522064,-73.97934723,40.76599121,-73.98190308,No charge,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T10:31:19,2016-03-10T10:31:22,2,0,Standard rate,0,0,0,0,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T12:43:08,2016-03-10T12:43:12,1,0.01,Standard rate,0,0,0,0,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T07:48:16,2016-03-10T07:48:53,1,0,Standard rate,40.64474106,-73.78188324,40.64474106,-73.78188324,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T08:31:57,2016-03-10T08:32:23,1,0.17,Standard rate,40.76557922,-73.96999359,40.76766968,-73.96839905,Credit card,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T12:54:44,2016-03-10T12:55:03,1,0.06,Standard rate,40.78621674,-73.95076752,40.78538513,-73.9513092,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T08:57:08,2016-03-10T08:57:08,1,0.01,Standard rate,40.7597084,-73.92832947,40.7730217,-73.86907196,Cash,2.5,0,0.5,0,0,0.3,3.3
1,2016-03-01T00:33:09,2016-03-01T00:33:45,1,9.3,Standard rate,40.73705673,-73.86302185,40.73705673,-73.86301422,No charge,2.5,0,0.5,0,0,0.3,3.3
1,2016-03-01T06:08:36,2016-03-01T06:08:48,1,0,Standard rate,40.71135712,-73.95597076,40.71088791,-73.95627594,No charge,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T13:25:28,2016-03-10T13:25:43,1,0.09,Standard rate,0,0,0,0,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T09:40:27,2016-03-10T09:41:17,5,0.04,Standard rate,40.76491165,-73.97802734,40.76528931,-73.97888184,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T11:18:01,2016-03-10T11:18:33,1,0.07,Standard rate,40.72484589,-74.00391388,40.72511292,-74.0036087,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T10:35:07,2016-03-10T10:35:52,1,0.03,Standard rate,40.75392914,-73.97660065,40.75514984,-73.97891998,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T09:43:57,2016-03-10T09:47:07,1,0,Standard rate,40.78293991,-73.95696259,40.78300858,-73.95691681,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T11:08:02,2016-03-10T11:08:07,6,0.04,Standard rate,0,0,0,0,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T08:06:31,2016-03-10T08:07:17,1,0,Standard rate,40.70944977,-74.00727844,40.70565033,-74.00832367,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T13:53:09,2016-03-10T13:53:31,1,0.03,Standard rate,40.77459335,-73.98213196,40.77408218,-73.98220062,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T12:13:26,2016-03-10T12:14:14,5,0.02,Standard rate,40.75522995,-73.97718811,40.75537872,-73.9783783,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T10:57:56,2016-03-10T10:58:08,2,0,Standard rate,40.74534988,-73.98703003,0,0,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T08:15:29,2016-03-10T08:15:33,1,0,Standard rate,0,0,40.74013901,-73.98665619,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T13:52:20,2016-03-10T13:52:36,5,0.02,Standard rate,40.72633362,-73.99506378,40.72623062,-73.99503326,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T11:26:43,2016-03-10T11:26:57,2,0.01,Standard rate,40.64466858,-73.7820282,40.64468384,-73.78201294,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T09:37:55,2016-03-10T09:38:06,1,0,Standard rate,40.75246048,-73.93894958,0,0,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T11:50:40,2016-03-10T11:50:40,1,0,Standard rate,0,0,40.76838684,-73.86254883,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T12:07:40,2016-03-10T12:08:10,1,0.14,Standard rate,40.72136688,-74.00042725,40.72035217,-74.00163269,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T09:26:16,2016-03-10T09:26:30,1,0,Standard rate,40.76212692,-73.97857666,0,0,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T11:48:43,2016-03-10T11:49:06,1,0.03,Standard rate,40.71773148,-74.01396179,40.71744919,-74.01332092,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T08:02:45,2016-03-10T08:03:09,1,0.07,Standard rate,40.78249741,-73.97286987,40.78116226,-73.97158813,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T10:31:25,2016-03-10T10:32:10,1,0,Standard rate,40.76989746,-73.86338043,40.76989746,-73.86338043,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T12:19:19,2016-03-10T12:19:51,1,0.05,Standard rate,40.7813797,-73.97973633,40.78219986,-73.98043823,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T08:58:00,2016-03-10T08:58:35,5,0.02,Standard rate,40.77096939,-73.9566803,40.76979828,-73.95754242,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T12:45:02,2016-03-10T12:45:49,1,0.03,Standard rate,40.72696686,-73.99562836,40.72696686,-73.99562836,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T14:22:56,2016-03-10T14:23:18,1,0,Standard rate,40.75528717,-73.97782135,40.75522614,-73.97733307,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T13:26:30,2016-03-10T13:27:21,5,0.07,Standard rate,40.75620651,-73.97929382,40.75576019,-73.97782898,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-01T06:03:26,2016-03-01T06:03:31,1,0,Standard rate,40.77056885,-73.91755676,40.76990128,-73.9183197,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T13:53:53,2016-03-10T13:54:06,5,0,Standard rate,40.71493149,-74.01609039,40.71546936,-74.01580048,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T09:08:22,2016-03-10T09:08:39,5,0,Standard rate,40.7756958,-73.9606781,40.7756958,-73.9606781,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T11:07:50,2016-03-10T11:08:21,1,0.04,Standard rate,40.76068115,-73.98127747,40.76028824,-73.98027039,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T11:55:53,2016-03-10T11:56:12,1,0.11,Standard rate,40.78343964,-73.95480347,40.78532028,-73.95350647,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T07:15:56,2016-03-10T07:16:33,1,0.18,Standard rate,40.76814651,-73.96794128,40.76974106,-73.96681976,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T14:05:33,2016-03-10T14:05:48,2,0,Standard rate,0,0,0,0,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T12:53:46,2016-03-10T12:54:46,1,0.06,Standard rate,40.76393127,-73.97399902,40.76317978,-73.97409058,Credit card,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T07:58:47,2016-03-10T07:59:08,1,0.06,Standard rate,40.76981354,-73.86385345,40.77007675,-73.86463928,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T13:30:10,2016-03-10T13:30:11,1,0,Standard rate,40.74932861,-73.98262787,40.74863815,-73.98113251,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T10:50:00,2016-03-10T10:50:04,2,0,Standard rate,0,0,40.76031876,-73.97373962,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T09:50:25,2016-03-10T09:50:34,1,0.07,Standard rate,40.64202118,-73.78869629,40.64477921,-73.78649139,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T10:08:57,2016-03-10T10:09:10,5,0.12,Standard rate,40.75799179,-73.9733429,40.7555809,-73.97309113,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T14:18:18,2016-03-10T14:18:52,2,0.01,Standard rate,40.73048019,-73.99214935,40.73049927,-73.99188232,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T12:08:18,2016-03-10T12:08:24,5,0.1,Standard rate,40.74178314,-73.98027039,40.74029922,-73.97914886,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T10:11:26,2016-03-10T10:11:37,1,0,Standard rate,40.83768845,-73.92144775,40.83768845,-73.92144775,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T12:05:33,2016-03-10T12:07:17,4,0.15,Standard rate,40.73012924,-73.99385834,40.72861862,-73.99424744,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T07:46:18,2016-03-10T07:46:22,6,0,Standard rate,0,0,0,0,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T07:44:24,2016-03-10T07:45:25,1,0,Standard rate,0,0,40.76454926,-73.9367218,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T13:46:51,2016-03-10T13:47:16,1,0,Standard rate,40.78860855,-73.94903564,40.78860855,-73.94903564,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T14:12:47,2016-03-10T14:13:30,1,0.03,Standard rate,40.7052803,-74.01715851,40.70681,-74.01746368,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T13:38:30,2016-03-10T13:38:41,6,0,Standard rate,40.75019836,-73.9443512,0,0,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T13:36:36,2016-03-10T13:36:57,1,0.11,Standard rate,40.75843811,-73.96334839,40.75843811,-73.96334839,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T13:41:09,2016-03-10T13:41:34,6,0,Standard rate,40.75024033,-73.94419861,40.75021362,-73.94425201,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T10:53:10,2016-03-10T10:53:15,1,0,Standard rate,0,0,0,0,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T12:32:44,2016-03-10T12:32:52,1,0.01,Standard rate,0,0,40.64339066,-73.78948212,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T08:40:43,2016-03-10T08:41:08,1,0.02,Standard rate,40.73965073,-73.98458099,40.7389183,-73.98365021,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T07:54:41,2016-03-10T07:55:37,2,0.04,Standard rate,40.76580811,-73.96340179,40.76673126,-73.96289063,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T07:44:01,2016-03-10T07:44:06,2,0,Standard rate,0,0,40.78015137,-73.97688293,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T13:09:27,2016-03-10T13:09:50,1,0.03,Standard rate,40.64483643,-73.78170013,40.64497375,-73.78131866,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T13:54:02,2016-03-10T13:54:45,1,0.15,Standard rate,40.75431824,-73.98317719,40.75348282,-73.98094177,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T11:17:09,2016-03-10T11:17:38,6,0.16,Standard rate,40.75077057,-73.97650909,40.74856949,-73.97830963,Cash,2.5,0,0.5,0,0,0.3,3.3
1,2016-03-01T06:04:13,2016-03-01T06:04:21,1,0,Standard rate,40.75081253,-73.95002747,40.75081635,-73.95001984,Dispute,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T14:19:19,2016-03-10T14:19:37,1,0.02,Standard rate,40.73461151,-73.98014832,40.73863983,-73.97722626,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T07:20:38,2016-03-10T07:21:03,1,0,Standard rate,40.75992966,-73.96497345,40.75992966,-73.96497345,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T09:40:28,2016-03-10T09:41:07,1,0.11,Standard rate,40.72490311,-73.98736572,40.72818756,-73.98495483,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T13:28:44,2016-03-10T13:29:02,1,0.03,Standard rate,40.72668839,-73.98599243,40.72690201,-73.9858017,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T13:26:40,2016-03-10T13:27:15,3,0.13,Standard rate,40.73136139,-73.99411011,40.73025131,-73.99275208,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T12:16:40,2016-03-10T12:17:27,5,0.03,Standard rate,40.75434875,-73.97459412,40.75415802,-73.97589874,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T10:38:20,2016-03-10T10:38:35,1,0.01,Standard rate,40.70780563,-74.00678253,40.70780563,-74.00678253,Cash,2.5,0,0.5,0,0,0.3,3.3
2,2016-03-10T13:08:01,2016-03-10T13:08:09,2,0,Standard rate,40.75435638,-73.9803772,0,0,Cash,2.5,0,0.5,0,0,0.3,3.3
